Date ,Dublin,Cork,Galway,Westmeath,Kildare,Donegal
27/02/2020,0,0,0,0,0,0
28/02/2020,0,0,0,0,0,0
29/02/2020,0,0,0,0,0,0
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,64,19,2,1,2,3
14/03/2020,124,10,5,4,9,0
15/03/2020,115,21,5,4,5,1
16/03/2020,148,17,12,10,6,3
17/03/2020,148,13,6,13,11,0
18/03/2020,163,24,5,15,5,9
19/03/2020,160,9,9,3,3,12
20/03/2020,94,21,9,7,2,10
21/03/2020,158,17,2,3,14,17
22/03/2020,193,17,3,1,10,5
23/03/2020,239,20,7,5,13,9
24/03/2020,174,12,7,6,33,3
25/03/2020,239,39,3,2,16,1
26/03/2020,202,19,4,13,23,22
27/03/2020,369,59,16,14,25,11
28/03/2020,207,10,6,13,33,6
29/03/2020,289,41,0,8,20,5
30/03/2020,316,31,26,10,37,20
31/03/2020,283,78,9,29,42,22
01/04/2020,358,67,9,11,28,21
02/04/2020,492,82,19,21,44,37
03/04/2020,432,50,23,21,39,39
04/04/2020,412,49,17,24,66,32
05/04/2020,487,87,23,51,58,24
06/04/2020,230,29,6,9,54,32
07/04/2020,367,34,7,14,63,17
08/04/2020,445,49,10,26,79,7
09/04/2020,287,19,11,11,54,7
10/04/2020,115,6,0,8,5,9
11/04/2020,124,24,15,9,29,24
12/04/2020,311,10,6,9,24,15
13/04/2020,513,9,16,14,79,9
14/04/2020,281,7,1,12,49,3
15/04/2020,214,7,0,16,25,9
16/04/2020,308,15,3,9,99,6
17/04/2020,92,1,0,2,20,1
18/04/2020,127,10,19,13,15,1
19/04/2020,216,10,4,13,31,2
20/04/2020,203,8,0,13,22,2
21/04/2020,107,2,2,13,11,1
22/04/2020,129,8,8,9,16,2
23/04/2020,155,11,0,31,26,4
24/04/2020,109,2,4,7,12,1
25/04/2020,64,15,6,7,9,1
26/04/2020,106,5,5,73,13,2
27/04/2020,45,2,1,6,10,0
28/04/2020,63,6,1,7,5,0
29/04/2020,120,2,6,1,7,0
30/04/2020,107,25,4,2,7,3
01/05/2020,60,2,8,0,6,2
02/05/2020,7,4,2,2,7,2
03/05/2020,66,11,3,3,4,1
04/05/2020,249,7,3,4,4,0
05/05/2020,0,90,4,2,5,1
06/05/2020,109,6,6,1,4,1
07/05/2020,27,9,14,1,6,0
08/05/2020,66,11,6,2,12,2
09/05/2020,26,4,7,2,0,0
10/05/2020,32,10,0,0,2,2
11/05/2020,29,12,6,3,2,1
12/05/2020,36,22,4,0,4,0
13/05/2020,43,8,3,2,5,0
14/05/2020,3,10,3,0,2,0
15/05/2020,18,2,0,0,5,0
16/05/2020,67,11,3,1,13,0
17/05/2020,35,7,9,1,6,1
18/05/2020,27,6,3,2,2,0
19/05/2020,8,8,0,0,0,0
20/05/2020,11,5,2,1,0,0
21/05/2020,10,37,2,1,1,0
22/05/2020,38,3,2,1,2,0
23/05/2020,3,0,0,0,0,0
24/05/2020,16,4,1,0,0,0
25/05/2020,9,6,0,1,0,5
26/05/2020,9,1,0,0,4,0
27/05/2020,12,1,0,0,0,1
28/05/2020,19,0,0,0,0,0
29/05/2020,1,0,2,0,1,0
30/05/2020,4,2,0,0,0,1
31/05/2020,4,1,2,0,2,0
01/06/2020,5,1,0,1,0,1
02/06/2020,7,0,0,0,0,1
03/06/2020,31,0,1,0,6,0
04/06/2020,3,0,0,0,2,0
05/06/2020,15,0,0,0,0,0
06/06/2020,7,2,0,0,1,0
07/06/2020,4,0,1,0,1,0
08/06/2020,9,0,0,0,3,0
09/06/2020,9,0,0,0,0,6
10/06/2020,6,0,0,2,4,0
11/06/2020,4,0,0,0,0,0
12/06/2020,29,0,0,0,24,0
13/06/2020,20,0,0,0,9,0
14/06/2020,0,0,0,0,1,0
15/06/2020,8,0,0,0,1,0
16/06/2020,0,0,0,0,0,0
17/06/2020,0,0,0,0,0,0
18/06/2020,19,1,0,0,3,0
19/06/2020,5,0,0,0,6,1
20/06/2020,4,0,0,0,1,0
21/06/2020,0,0,0,0,0,0
22/06/2020,8,4,1,1,3,0
23/06/2020,2,0,0,1,1,0
24/06/2020,6,1,0,0,2,0
25/06/2020,0,2,0,0,3,1
26/06/2020,15,1,0,0,1,0
27/06/2020,8,1,1,0,1,0
28/06/2020,3,2,0,2,1,1
29/06/2020,9,0,1,0,3,1
30/06/2020,12,0,4,0,3,0
01/07/2020,7,0,1,0,7,0
02/07/2020,14,1,0,0,0,0
03/07/2020,4,2,0,0,1,0
04/07/2020,14,2,0,0,3,0
05/07/2020,5,0,0,0,0,1
06/07/2020,11,4,0,0,0,2
07/07/2020,25,1,0,1,1,0
08/07/2020,12,2,2,0,3,1
09/07/2020,6,0,1,0,2,0
10/07/2020,5,0,0,1,1,0
11/07/2020,21,3,0,0,1,0
12/07/2020,11,1,0,1,1,0
13/07/2020,2,1,0,0,3,0
14/07/2020,15,0,1,0,3,0
15/07/2020,11,2,0,0,2,0
16/07/2020,9,0,0,0,1,0
17/07/2020,5,1,0,0,3,0
18/07/2020,16,0,2,1,3,1
19/07/2020,7,0,0,1,2,0
20/07/2020,18,3,0,1,29,0
21/07/2020,15,1,0,0,17,1
22/07/2020,4,0,3,0,8,0
23/07/2020,25,0,0,0,6,2
24/07/2020,2,2,0,1,15,0
25/07/2020,8,1,0,0,33,0
26/07/2020,5,2,0,0,10,5
27/07/2020,5,3,1,0,19,1
28/07/2020,5,0,0,1,35,4
29/07/2020,27,7,1,0,110,1
30/07/2020,16,0,0,0,20,5
31/07/2020,7,3,1,0,19,0
01/08/2020,1,2,0,0,2,3
02/08/2020,11,0,0,0,11,1
03/08/2020,24,2,0,0,23,2
04/08/2020,15,3,0,0,13,3
05/08/2020,56,3,6,0,81,2
06/08/2020,16,0,0,0,21,1
07/08/2020,13,0,1,1,23,1
08/08/2020,49,3,0,0,50,0
09/08/2020,15,0,0,0,4,3
10/08/2020,47,6,1,0,28,2
11/08/2020,42,6,0,0,9,1
12/08/2020,55,2,0,1,36,1
13/08/2020,39,2,0,0,13,0
14/08/2020,70,3,1,0,15,4
15/08/2020,18,3,1,0,6,1
16/08/2020,92,9,2,0,21,0
17/08/2020,33,4,0,4,6,6
18/08/2020,52,1,1,1,1,0
19/08/2020,58,4,0,0,20,14
20/08/2020,22,0,1,0,4,0
21/08/2020,28,1,0,1,0,0
22/08/2020,103,2,2,1,25,3
23/08/2020,52,2,0,1,2,0
24/08/2020,52,2,0,2,6,0
25/08/2020,24,4,1,0,13,0
26/08/2020,133,6,7,0,18,5
27/08/2020,68,5,9,1,9,2
28/08/2020,56,2,6,2,0,0
29/08/2020,180,3,6,1,27,3
30/08/2020,50,2,4,2,5,4
31/08/2020,108,0,3,6,7,1
01/09/2020,120,8,5,6,3,5
02/09/2020,74,6,3,3,5,6
03/09/2020,156,2,1,4,8,13
04/09/2020,109,5,2,2,9,12
05/09/2020,218,9,4,10,11,2
06/09/2020,125,7,6,4,0,20
07/09/2020,116,8,4,1,17,16
08/09/2020,115,14,15,0,22,13
09/09/2020,166,21,2,1,7,19
